23:29:49.498 -> 40, 0.73, 1.12, -1.94, -20.68, -4.41, -11.51, 0.75, 0.52, -1.02, -0.60, -13.94, -33.23, 0.45, -0.74, 0.85, -27.14, 56.69, -2.86, 2
23:29:49.498 -> 41, 0.58, 0.07, -0.59, -12.87, 6.82, -9.07, -0.15, -0.23, -0.27, -13.29, -0.26, -31.28, -0.30, 0.31, 0.40, -29.10, -1.90, 52.80, 2
23:29:49.544 -> 42, 0.28, 0.67, 0.01, -17.75, -8.32, -3.21, -0.90, -0.23, 0.03, -2.55, -3.68, 7.78, 1.20, 1.06, 0.85, -33.49, -9.71, 17.16, 2
23:29:49.544 -> 43, -0.47, 1.87, -0.74, -4.08, -5.87, -19.81, 1.35, -1.13, -0.57, -2.55, 3.15, -16.14, -0.30, 0.76, 0.10, -24.70, 3.96, 27.41, 2
23:29:49.544 -> 44, 1.33, 0.97, -0.59, -6.52, -2.46, -13.46, 0.30, 0.52, 0.03, -20.62, 0.22, -9.79, 0.45, 0.01, 0.40, -22.75, -3.85, 41.57, 2
23:29:49.544 -> 45, 1.18, 1.42, -0.29, 1.78, 23.91, -10.53, 0.90, 0.67, -1.32, 70.69, -5.63, 18.04, -0.15, 0.91, 0.70, -108.69, 37.65, 34.25, 2
23:29:49.591 -> 46, -0.17, -0.08, -1.94, -10.42, 4.38, -10.04, 0.45, 0.67, -0.87, -4.50, -15.89, -1.01, -0.90, 0.91, 0.25, -24.70, -12.64, 47.92, 2
23:29:49.591 -> 47, 0.73, -0.38, -0.29, -8.47, 4.87, -5.16, 0.15, -0.08, -0.87, -2.55, -20.77, -7.35, -0.00, -0.74, 1.15, -31.05, -1.90, 41.57, 2
23:29:49.591 -> 48, 0.28, 0.37, -1.04, -13.84, -11.73, -10.04, -0.15, 0.52, 0.03, -4.01, -1.24, -11.26, 0.60, -0.59, 0.25, -36.42, -6.78, 18.62, 2
23:29:49.591 -> 49, 1.18, 1.87, -1.04, -10.91, 0.47, -13.46, -0.75, -0.83, 0.18, 4.78, 0.22, -5.40, -0.15, 0.16, 0.25, -23.73, -8.25, 0.07, 2
23:29:49.624 -> 50, 0.13, 1.27, -0.14, -20.68, 2.92, -16.39, 0.30, -0.68, -0.72, 7.70, 6.57, -4.91, -0.60, 0.46, 1.00, -35.44, -0.92, 17.16, 2
23:29:49.624 -> 1, 0.88, 0.52, -2.09, -22.14, -1.97, -10.53, 1.35, -0.08, 1.08, 6.73, 5.60, -16.63, -0.75, -0.44, 0.40, -115.52, -9.22, 116.77, 2
23:29:49.624 -> 2, -1.07, 0.07, -2.54, -6.03, -6.36, -16.39, 1.35, 0.37, -0.57, -4.99, -8.08, -10.28, -0.75, -0.44, 0.85, -92.57, 5.91, 77.71, 2
